id,description,hierarchy_levels,type,source
ESCO_01c03003-516d-43c6-8477-45c472413521,advise on construction materials,"[['ESCO_T', 'ESCO_T4', 'ESCO_T4.2', None], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.3'], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.0']]",preferredLabel,esco
ESCO_01c4bbed-0449-44c9-9c05-48c30ffdcc22,maintain rotating equipment,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.0', 'ESCO_S8.0.0'], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.7', 'ESCO_S8.7.2']]",preferredLabel,esco
ESCO_01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,manage volunteers in second-hand shop,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.3', 'ESCO_S4.3.2'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.8', 'ESCO_S4.8.1'], ['ESCO_T', 'ESCO_T4', 'ESCO_T4.4', None], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.5', 'ESCO_S4.5.0']]",preferredLabel,esco
ESCO_01d3d692-dcba-4544-82d2-fc27726bdbbc,pump products for storage,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.2', 'ESCO_S6.2.3']]",preferredLabel,esco
ESCO_01d80f57-3906-44e9-8592-fd1bd8a35808,medico-biological and medical sciences related to dentistry,"[['ESCO_K', 'ESCO_K09', 'ESCO_K091', 'ESCO_K0911']]",preferredLabel,esco
ESCO_01e5d2e2-d368-4fb9-9be9-9923146482c4,attend to detail in casting processes,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None]]",preferredLabel,esco
ESCO_01e66e1c-97d9-4829-bee1-f3ab649161e8,biomedical science,"[['ESCO_K', 'ESCO_K05', 'ESCO_K051', 'ESCO_K0512'], ['ESCO_K', 'ESCO_K07', 'ESCO_K071', 'ESCO_K0711']]",preferredLabel,esco
ESCO_01e7dee7-3ff1-4807-acad-058dbed91aba,keep up to date on product knowledge,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.9', 'ESCO_S2.9.0']]",preferredLabel,esco
ESCO_01f10952-cb59-4347-9aee-d4fbc51c870a,write Hungarian,"[['ESCO_T', 'ESCO_T1', 'ESCO_T1.1', None], ['ESCO_L', 'ESCO_L1', None, None]]",preferredLabel,esco
ESCO_01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,monitor drilling fluid,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.1']]",preferredLabel,esco
